Topic,Count,Name,Representation,Representative_Docs,topic_name
-1,2,-1_british petrolium_petrolium_british_,"['british petrolium', 'petrolium', 'british', '', '', '', '', '', '', '']","['daily reminder ""carbon footprint"" invented british petrolium shift blame mega corps average joe.', 'många grundlösa antaganden trosuppfattningar inbakade ditt inlägg svårt följa vill. till börja ""klimatavtrycket"" marknadsföringsinitiativ british petrolium flytta upplevt klimatansvar från företag till individ..']",Outliers / Noise
0,14,0_british_petrolium_british petrolium_bps,"['british', 'petrolium', 'british petrolium', 'bps', 'petroleum', 'industry', 'giant', 'million', 'petrolium british', 'announced']","['संसारमा सबैभन्दा ठुलो जरिवाना 2016 (british petrolium) बिरुद्ध $20.8 billion लगाएको थियो, त्यो भन्दा झन्डै दोब्बर billion जरिवाना ठोकिदियेछ india apple बिरुद्ध! भैयाहरुले देखे सोचेर जरिवाना ठोक्छन? हामीलाई चाहिदैनस भनेका नेपालको साटो', ""actually mostly owned govt/bankers. history-john d'arcy. check out. british petrolium"", 'putins fault, irans. british petrolium doubled profits.']",British / Petrolium / British Petrolium
1,10,1_develop_needs_industry_drilling,"['develop', 'needs', 'industry', 'drilling', 'petroleum', 'resources', 'national', 'latest', 'happened', 'general']","[""environment land court isiolo ruled class action lawsuit british giant proceed full hearing, case alleges toxic waste left behind exploration 1980s contaminated groundwater northern kenya, killing people thousands livestock. matter taken lawsuit, filed february petitioners environment land court isiolo, brought residents kargi kalacha, remote settlements marsabit county. alleges exploration activities conducted 1985 1993 northern northwestern kenya amoco corporation, acquired 1998, improperly discharged hazardous toxic contaminants environment, contaminating groundwater communities depend drinking water rear livestock. court documents allege drilling waste containing radium isotopes, arsenic, lead nitrates, dumped unlined pits left exposed ground. petition names british petroleum respondent, alongside respondents national corporation kenya; cabinet secretaries environment, water, health mining; water resources authority; county government marsabit; attorney general; national environment management authority; kenya nuclear regulatory authority; kenya medical research institute. bp’s press office told mongabay email comment case. court’s april ruling establish liability clears procedural threshold case fully heard. named petitioners represent fraction affected. case backed pastoralist alliance resilience adaptation across nations (paraan) civil society network organisations drawn nine kenyan counties east african countries. liban golicha, paraan’s coordinator, told mongabay organization became involved member organization region brought community’s evidence attention. “this long-standing historical injustice happened back,” golicha said. support them, giving hand community’s consent, facilitate legal team visit sites help coordinate stakeholders.” case, golicha said, isolated. similar allegations toxic waste dumping exploration companies raised counties northern kenya garissa, wajir isiolo, paraan begun receiving inquiries areas pursue similar legal action enjoined. “there’s allegation similar incidents happened entire northern kenya,” said. goes through, eye-opener.” now, paraan treating kargi kalacha case pilot. banner image: residents kalacha settlement meeting civil society representatives lawyers february, 2026. image courtesy zeitun. across tropics, growing movement working secure future primates face disease, deforestation wildlife trade. reporting across planet, video series highlights scientists, conservationists local communities rebuilding populations reconnecting fragmented forests. way, reveals innovation, collaboration resilience [...] 2026 copyright conservation news. mongabay u.s.-based non-profit conservation environmental science news platform. 45-3714703. you're currently offline"", 'ministry petroleum mineral resources (momr) announced natural discovery nile delta, projected production million cubic feet (mmcf/d) following drilling exploratory (nidoco n-2) west madi area, co-operated italy’s uk’s british petroleum (bp). karim badawi, minister petroleum mineral resources, inspected drilling rig, executed operations well. nidoco n-2, situated approximately offshore shallow waters (depth ~10m), drilled onshore location utilizing advanced directional drilling (erd) technologies. strategic approach significantly optimized operational expenditures (opex) enhanced overall process efficiency. minister affirmed discovery, increased production existing fields, comes result petroleum sector’s success repaying dues owed foreign partners, goal totally settling june. badawi explained regular settlement arrears encouraged partners intensify exploration drilling activities, increase production rates, expand development mature fields extending duration agreements. helped attract investments areas. additionally, badawi noted well’s proximity existing infrastructure, less nearest production facilities, allows rapid connection grid coming weeks start early production, thereby enhancing efficiency investment spending. minister explained discovery serves model maximizing existing infrastructure, increasing production rates secure supplies domestic market. reflects continued success exploration activities across various concession areas. madi west development area operated partnership egyptian general petroleum corporation (egpc), petrobel. sarah writing field years. bachelor degree english literature. experience banking sector. latest content delivered email times month. 2026 rights reserved', 'offer better experiences, partners technologies cookies store and/or access information device. consent technology allow, partners, process personal data behavior navigation unique site display advertisements (non-) personalized. consent withdraw consent harm certain functionality functions. click accept prior detailed choices. choices applied site. modify settings, withdrawal consent, political buttons cookies, clicking consent management bottom screen. store and/or access device information, limited data select advertising, create personalized advertising profiles, profiles select personalized ads, create profiles create personalized content, profiles select personalized content, develop services, limited data select content. match data data sources, connect different devices, identify devices function information transmitted automatically. algeria chain, limited data select advertising, create personalized advertising profiles, profiles select personalized content, profiles select personalized content, develop services, limited data select content. connect data data sources, identify devices function information transmitted automatically. algeria chain, national agency develop technologies develop technologies develop develop develop develop develop develop develop develop develop develop develop develop develop']",Develop / Needs / Industry
2,8,2_petrolium british_british petrolium_petrolium_british,"['petrolium british', 'british petrolium', 'petrolium', 'british', 'happened', '', '', '', '', '']","['british petrolium', 'british petrolium?', 'british petrolium?']",Petrolium British / British Petrolium / Petrolium
3,5,3_british petrolium_petrolium_british_petrolium british,"['british petrolium', 'petrolium', 'british', 'petrolium british', '', '', '', '', '', '']","['knowww bpink memeber truely am!!!! true true british petrolium', 'بنزینی نزدیکی کرمانشاه هست. انگلیسیا خیلی سرزمین خدمت کردن. جاده\u200cسازی پالایشگاه تلگراف مدنیت! british petrolium', 'british petrolium.']",British Petrolium / Petrolium / British
