Topic,Count,Name,Representation,Representative_Docs,topic_name
-1,3,-1_help_google_iphone_amazon,"['help', 'google', 'iphone', 'amazon', 'apple', '', '', '', '', '']","['brand designer product designer apple: deborah’s career story paiger.link/1800554721', 'iphone finally reach rumors adding ""camera siri mode"" voice-activated shooting composition adjustment automatic optimal settings it\'s longer ""taking"" photos ""entrusting"" coming', 'shuroo process (2021) about? mockumentary self help gurus wellness retreats apple amazon prime video, store, google play store sailing seas boxd.it/xc2e']",Outliers / Noise
0,10,0_apple_inside_thing_google,"['apple', 'inside', 'thing', 'google', 'dropped', 'guide', '', '', '', '']","['apple', 'apple music roulette with:', 'update apple support app, version 5.13, dropped surprise claude.md files appeared mistake inside update files guide claude programming tasks looks like apple relying claude developing apps']",Apple / Inside / Thing
1,9,1_apple___,"['apple', '', '', '', '', '', '', '', '', '']","[""'margot money troubles' apple involves wrestling. chris jericho apparently lead role."", 'mending namatin black clover atau movie bingung apple apple wkakak', 'asake occupies entire apple songs chart songs ""m$ney""']",Apple
2,8,2_guide_amazon_apple_thing,"['guide', 'amazon', 'apple', 'thing', 'iphone', 'inside', 'help', 'dropped', '', '']","['cook stepping down. didn’t replace steve jobs, rebuilt apple’s engine. visionary-led company trillion-dollar system. actually changed inside apple? full breakdown sunday.', ""don't trade staunch believers apple thick thin! rocking boat, it's voice reason help guide through. added position yesterday. love results...and guide"", 'daily deals dropped $463.32 average! price normal amazon deals grab yours link: amazon.com.br/dp/b0fqgtt4v7? $10,709.10 free shipping apple iphone 256gb silver amazon smartphone']",Guide / Amazon / Apple
